file,section,title,date,slug,old_categories,old_tags,proposed_tags,needs_review
writing/2022-05-13-trying-new-things/index.md,writing,Trying New Things,2022-05-13,trying-new-things,"life, thoughts",,personal,YES
writing/2022-05-15-hum-panchhi-unmukt-gagan-ke/index.md,writing,हम पंछी उन्मुक्त गगन के,2022-05-15,hum-panchhi-unmukt-gagan-ke,"life, thoughts",,personal,YES
writing/2022-05-23-some-website-stats/index.md,writing,Some Website Stats,2022-05-23,some-website-stats,"blog, life, thoughts",,personal,YES
writing/2022-05-26-biggest-advertisers-on-facebook/index.md,writing,Biggest Social Advertisers on Facebook,2022-05-26,biggest-political-advertisers-on-facebook,"business, economics, life, thoughts, R",,"economics, r",YES
writing/2022-05-28-street-maps/index.md,writing,Street Maps (of Some Cities),2022-05-28,city-maps,R,,r,
writing/2022-06-05-food-choices-in-america/index.md,writing,Food Choices in America,2022-06-05,food-choices-in-america,"life, thoughts",,personal,YES
writing/2022-06-18-next-today-i-learnt-about-r/index.md,writing,Next — Today I learnt About R,2022-06-18,newsletter,"R, publications, statistics",,"academia, data-science, r",
writing/2022-07-03-the-best-stats-you-ve-ever-seen/index.md,writing,The best stats you've ever seen,2022-07-03,the-best-stats-you-ve-ever-seen,"life, thoughts, statistics, economics",,"data-science, economics",YES
writing/2022-07-09-the-ascribed-advantage/index.md,writing,The Ascribed Advantage,2022-07-09,the-ascribed-advantage,"R, social, economics, business",,"economics, r",YES
writing/2022-08-01-script-monkey/index.md,writing,Script monkey! 🐒,2022-08-01,script-monkey,"R, coding, Python",,"python, r, tools",
writing/2022-08-10-stoned-to-death-at-the-public-square/index.md,writing,Stoned to Death at the Public Square,2022-08-10,public-square,"life, thoughts",,personal,YES
writing/2022-08-12-being-optimistic/index.md,writing,Being Optimistic,2022-08-12,optimistic,"life, thoughts",,personal,YES
writing/2022-09-09-rediscovering-coffee/index.md,writing,Rediscovering Coffee: A Newfound Hobby,2022-09-09,rediscovering-coffee,"coffee, life, thoughts",,coffee,YES
writing/2022-09-20-small-improvements/index.md,writing,How the government of Bihar is changing lives one girl at a time?,2022-09-20,bihar,"life, thoughts, economics, statistics",,"data-science, economics",YES
writing/2022-09-28-hp/index.md,writing,Supply Chain Analytics at HP Inc.,2022-10-31,hp22,"business, HP, life, thoughts, Python",,"economics, forecasting, python",YES
writing/2022-10-07-bullets-of-inspiration/index.md,writing,Bullets of Wisdom,2022-10-07,wise,"life, thoughts, live",,personal,YES
writing/2022-11-10-population-collapse/index.md,writing,Is the world population going to collapse?,2022-11-10,population-collapse,"statistics, thoughts, social, life",,data-science,YES
writing/2022-11-22-coffee/index.md,writing,Notes on Coffee,2022-11-22,coffee,"life, thoughts",,personal,YES
